rank,stock_code,name,closing_price,market_cap,score,mom_20d,drawdown_from_high,volume_surprise,past_glory_1y,fallen_angel_score,vcp_score
259,007810,코리아써키트,68000,1606211068000,0.1494982999144968,0.8157543391188251,-0.01449275362318836,0.6502047511005195,6.849829351535837,0.0,0.0
260,000150,두산,907000,14687808345000,0.14784030890360483,0.11837237977805182,-0.1617375231053605,0.5914444333492318,3.575052854122622,0.0,0.0
261,443060,HD현대마린솔루션,185400,8311729509000,0.14782833310693455,-0.057926829268292734,-0.2785992217898833,0.6622700109571015,1.0364500792393025,0.0,0.0
262,035420,NAVER,277500,43526607045000,0.1464221504014942,0.17336152219873147,-0.05932203389830504,1.6898981453144968,0.674233825198638,0.0,0.0
263,035900,JYP Ent.,73100,2597425165200,0.14544995435739688,0.012465373961218829,-0.17401129943502824,1.2307991835546492,0.5636042402826855,0.0,0.0
264,039200,오스코텍,52300,2000902604800,0.1451814044464311,0.18325791855203621,-0.20757575757575752,1.529858858338922,1.693877551020408,0.0,0.0
265,068270,셀트리온,218500,50464971726500,0.14452955748040253,0.2005494505494505,-0.017977528089887618,1.3461877653156236,0.4793882978723405,0.0,0.0
266,071970,STX중공업,90300,3063110998500,0.14444409746918238,-0.032154340836012874,-0.15290806754221387,1.0331527931318927,3.4140786749482404,0.0,0.0
267,089010,켐트로닉스,36200,591483492600,0.14065196821977904,0.23972602739726034,-0.20264317180616742,1.9714944500080955,1.63953488372093,0.0,0.0
268,060280,큐렉소,18920,777422610800,0.13781635938374392,0.42900302114803623,-0.08819277108433732,0.8577762654270055,2.0072463768115942,0.0,0.0
269,005070,코스모신소재,54500,1771836202000,0.13690982988280076,0.15466101694915246,-0.16539050535987754,3.0935448697777552,1.2135593220338983,0.0,0.0
270,287840,인투셀,51300,769546170000,0.1352240250811436,-0.13781512605042012,-0.315086782376502,0.9507921300389256,2.5,0.787716955941255,0.0
271,009540,한국조선해양,422500,29901641510000,0.13515642472968364,0.015625,-0.1456016177957533,0.8476779151148163,1.6628971459343025,0.0,0.0
272,166090,하나머티리얼즈,66700,1319170855800,0.13386463023415665,0.5899880810488678,-0.004477611940298498,1.1065624707663937,1.9321663019693656,0.0,0.0
273,042700,한미반도체,182000,17346820400000,0.13330390750010754,0.4606741573033708,-0.09452736318407962,0.8445072114589334,2.4536082474226806,0.0,0.0
274,022100,포스코 ICT,40850,6210618679650,0.13243399971091188,0.3870967741935485,-0.10416666666666663,0.813624363713625,1.5617977528089888,0.0,0.0
275,196170,알테오젠,435000,23275017780000,0.1279227551067708,0.011627906976744207,-0.2355008787346221,1.444501735849457,0.9061976549413735,0.0,0.0
276,171090,선익시스템,58000,554567232000,0.12653651707034488,0.08818011257035652,-0.08661417322834641,3.47916578112381,0.9126506024096386,0.0,0.0
277,323280,태성,71200,2171651976000,0.12620086370492506,0.45010183299388995,-0.009735744089012566,3.728952966329804,3.373479318734793,0.0,0.0
278,000990,DB하이텍,104700,4554930363600,0.12343846383360292,0.5284671532846716,-0.015051740357478804,1.5915942220196346,2.5024711696869852,0.0,0.0
279,298040,효성중공업,2518000,23479211864000,0.12008952672969134,0.40670391061452515,-0.009441384736427971,1.0880128325215437,5.654450261780105,0.0,0.0
280,097950,CJ제일제당,213000,3206541618000,0.11796665356214187,0.009478672985782088,-0.21691176470588236,0.9342162944341639,0.3600000000000001,0.0,0.0
281,090710,휴림로봇,15770,1883839996690,0.1152932839835056,1.709621993127148,-0.40714285714285714,0.8690324118675916,15.996805111821086,6.5129849383842995,0.0
282,045100,한양이엔지,29100,523800000000,0.11422088803215824,0.37914691943127954,-0.10185185185185186,4.802378430232163,1.165775401069519,0.0,0.0
283,476060,온코닉테라퓨틱스,19350,868579704000,0.11416778787582514,0.021647307286166928,-0.7266949152542372,0.3326280719983891,4.6414342629482075,0.0,0.0
284,058470,리노공업,86900,6622809765000,0.11389783741791756,0.42692939244663375,-0.6317796610169492,3.175625303369025,5.6199158485273495,0.0,0.0
285,028300,HLB,67200,8941881379200,0.11219929919036252,0.4436090225563909,-0.3114754098360656,3.046781737983281,1.6998616874135548,0.529465115751763,0.0
286,950160,코오롱티슈진,97200,8089106958000,0.10976966040622062,0.32065217391304346,-0.03857566765578635,1.8929613948550528,2.710091743119266,0.0,0.0
287,088350,한화생명,3390,2944316700000,0.10908479198369207,-0.0014727540500736325,-0.22158438576349027,1.0989149021820068,0.8375527426160339,0.0,0.0
288,087010,펩트론,316500,7379941275000,0.10752974264089413,0.3790849673202614,-0.1936305732484076,2.0040970184006914,3.617647058823529,0.0,0.0
289,062040,산일전기,150400,4593998080000,0.10592307493710199,0.12574850299401197,-0.15930687534935717,2.017079285552413,3.126874279123414,0.0,0.0
290,403870,HPSP,44000,3695961280000,0.10510284310422296,0.4642262895174709,0.0,2.854666478632995,1.0803782505910164,-0.0,0.0
291,456160,지투지바이오,85000,1395747600000,0.10478643715247393,0.2801204819277108,,1.1524734756215373,,,
292,353200,대덕전자,54500,2693222412500,0.10056693623023014,0.16827438370846726,-0.025044722719141377,2.0414611708344963,3.333333333333333,0.0,0.0
293,468530,프로티나,81000,886097880000,0.09984855426479745,-0.24651162790697678,,0.8386465714185387,,,
294,098460,고영,33850,2323963456750,0.09765125906953134,0.45905172413793105,-0.01741654571843254,1.2940967739782099,3.0104772991850988,0.0,0.0
295,086520,에코프로,168600,22891859227200,0.09664392949194052,0.7327852004110997,-0.007067137809187329,5.611799012677417,3.4980132450331123,0.0,0.0
296,007660,이수페타시스,125400,9205516062600,0.0964295097071108,0.05289672544080615,-0.1992337164750958,1.5514874202991364,5.251497005988024,0.0,0.0
297,064760,티씨케이,228000,2548906848000,0.09364926870772901,0.5932914046121593,0.0,2.0972252693068825,2.3333333333333335,-0.0,0.0
298,097230,한진중공업,26200,2365738012800,0.08709323454082389,0.18018018018018012,-0.23726346433770018,1.2609001463095335,5.101243339253997,0.0,0.0
299,006400,삼성SDI,396500,31952162645000,0.08640850781188247,0.41607142857142865,-0.03645200486026734,1.7195312111463594,1.6093849080532658,0.0,0.0
300,226950,올릭스,150500,3038577391500,0.08609720569335894,0.1639597834493427,-0.06521739130434778,0.9417115418053661,11.03288490284006,0.0,0.0
301,450080,에코프로머티,74600,5263683048400,0.08552308243707828,0.31338028169014076,-0.27431906614785995,9.269084319454818,1.5320197044334973,0.0,0.0
302,307950,현대오토에버,441000,12093976062000,0.08546968674324801,0.5339130434782609,-0.1741573033707865,0.2412976569652121,3.990654205607477,0.0,0.0
